rider_name,rider_url,nationality,rider_number,team_name,team_url
SINKELDAM Ramon,rider/ramon-sinkeldam,NL,108,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
GIRMAY Biniam,rider/biniam-girmay,ER,111,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
CALMEJANE Lilian,rider/lilian-calmejane,FR,112,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
COSTA Rui,rider/rui-costa,PT,113,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
MEINTJES Louis,rider/louis-meintjes,ZA,114,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
PETIT Adrien,rider/adrien-petit,FR,115,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
SMITH Dion,rider/dion-smith,NZ,116,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
TEUNISSEN Mike,rider/mike-teunissen,NL,117,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
ZIMMERMANN Georg,rider/georg-zimmermann,DE,118,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
MARTIN Guillaume,rider/guillaume-martin,FR,121,Cofidis (WT),team/cofidis-2023
COQUARD Bryan,rider/bryan-coquard,FR,122,Cofidis (WT),team/cofidis-2023
GESCHKE Simon,rider/simon-geschke,DE,123,Cofidis (WT),team/cofidis-2023
IZAGIRRE Ion,rider/ion-izagirre,ES,124,Cofidis (WT),team/cofidis-2023
LAFAY Victor,rider/victor-lafay,FR,125,Cofidis (WT),team/cofidis-2023
PEREZ Anthony,rider/anthony-perez,FR,126,Cofidis (WT),team/cofidis-2023
RENARD Alexis,rider/alexis-renard,FR,127,Cofidis (WT),team/cofidis-2023
ZINGLE Axel,rider/axel-zingle,FR,128,Cofidis (WT),team/cofidis-2023
MAS Enric,rider/enric-mas,ES,131,Movistar Team (WT),team/movistar-team-2023
GUERREIRO Ruben,rider/ruben-guerreiro,PT,132,Movistar Team (WT),team/movistar-team-2023
ARANBURU Alex,rider/alex-aranburu,ES,133,Movistar Team (WT),team/movistar-team-2023
IZAGIRRE Gorka,rider/gorka-izagirre,ES,134,Movistar Team (WT),team/movistar-team-2023
JORGENSON Matteo,rider/matteo-jorgenson,US,135,Movistar Team (WT),team/movistar-team-2023
MÜHLBERGER Gregor,rider/gregor-muhlberger,AT,136,Movistar Team (WT),team/movistar-team-2023
OLIVEIRA Nelson,rider/nelson-oliveira,PT,137,Movistar Team (WT),team/movistar-team-2023
PEDRERO Antonio,rider/antonio-pedrero,ES,138,Movistar Team (WT),team/movistar-team-2023
BARDET Romain,rider/romain-bardet,FR,141,Team dsm - firmenich (WT),team/team-dsm-firmenich-2023
DEGENKOLB John,rider/john-degenkolb,DE,142,Team dsm - firmenich (WT),team/team-dsm-firmenich-2023
DINHAM Matthew,rider/matthew-dinham,AU,143,Team dsm - firmenich (WT),team/team-dsm-firmenich-2023
EDMONDSON Alex,rider/alexander-edmondson,AU,144,Team dsm - firmenich (WT),team/team-dsm-firmenich-2023
EEKHOFF Nils,rider/nils-eekhoff,NL,145,Team dsm - firmenich (WT),team/team-dsm-firmenich-2023
HAMILTON Chris,rider/chris-hamilton,AU,146,Team dsm - firmenich (WT),team/team-dsm-firmenich-2023
VERMAERKE Kevin,rider/kevin-vermaerke,US,147,Team dsm - firmenich (WT),team/team-dsm-firmenich-2023
WELSFORD Sam,rider/sam-welsford,AU,148,Team dsm - firmenich (WT),team/team-dsm-firmenich-2023
WOODS Michael,rider/michael-woods,CA,151,Israel - Premier Tech (PRT),team/israel-premier-tech-2023
BOIVIN Guillaume,rider/guillaume-boivin,CA,152,Israel - Premier Tech (PRT),team/israel-premier-tech-2023
CLARKE Simon,rider/simon-clarke,AU,153,Israel - Premier Tech (PRT),team/israel-premier-tech-2023
HOULE Hugo,rider/hugo-houle,CA,154,Israel - Premier Tech (PRT),team/israel-premier-tech-2023
NEILANDS Krists,rider/krists-neilands,LV,155,Israel - Premier Tech (PRT),team/israel-premier-tech-2023
SCHULTZ Nick,rider/nick-schultz,AU,156,Israel - Premier Tech (PRT),team/israel-premier-tech-2023
STRONG Corbin,rider/corbin-strong,NZ,157,Israel - Premier Tech (PRT),team/israel-premier-tech-2023
TEUNS Dylan,rider/dylan-teuns,BE,158,Israel - Premier Tech (PRT),team/israel-premier-tech-2023
YATES Simon,rider/simon-yates,GB,161,Team Jayco AlUla (WT),team/team-jayco-alula-2023
CRADDOCK Lawson,rider/lawson-craddock,US,162,Team Jayco AlUla (WT),team/team-jayco-alula-2023
DURBRIDGE Luke,rider/luke-durbridge,AU,163,Team Jayco AlUla (WT),team/team-jayco-alula-2023
GROENEWEGEN Dylan,rider/dylan-groenewegen,NL,164,Team Jayco AlUla (WT),team/team-jayco-alula-2023
HARPER Chris,rider/chris-harper,AU,165,Team Jayco AlUla (WT),team/team-jayco-alula-2023
JUUL-JENSEN Christopher,rider/christopher-juul-jensen,DK,166,Team Jayco AlUla (WT),team/team-jayco-alula-2023
MEZGEC Luka,rider/luka-mezgec,SI,167,Team Jayco AlUla (WT),team/team-jayco-alula-2023
REINDERS Elmar,rider/elmar-reinders,NL,168,Team Jayco AlUla (WT),team/team-jayco-alula-2023
BARGUIL Warren,rider/warren-barguil,FR,171,Team Arkéa Samsic (WT),team/team-arkea-samsic-2023
BIERMANS Jenthe,rider/jenthe-biermans,BE,172,Team Arkéa Samsic (WT),team/team-arkea-samsic-2023
CHAMPOUSSIN Clément,rider/clement-champoussin,FR,173,Team Arkéa Samsic (WT),team/team-arkea-samsic-2023
DELAPLACE Anthony,rider/anthony-delaplace,FR,174,Team Arkéa Samsic (WT),team/team-arkea-samsic-2023
GUGLIELMI Simon,rider/simon-guglielmi,FR,175,Team Arkéa Samsic (WT),team/team-arkea-samsic-2023
LOUVEL Matis,rider/matis-louvel,FR,176,Team Arkéa Samsic (WT),team/team-arkea-samsic-2023
MOZZATO Luca,rider/luca-mozzato,IT,177,Team Arkéa Samsic (WT),team/team-arkea-samsic-2023
PICHON Laurent,rider/laurent-pichon,FR,178,Team Arkéa Samsic (WT),team/team-arkea-samsic-2023
EWAN Caleb,rider/caleb-ewan,AU,181,Lotto Dstny (PRT),team/lotto-dstny-2023
CAMPENAERTS Victor,rider/victor-campenaerts,BE,182,Lotto Dstny (PRT),team/lotto-dstny-2023
DE BUYST Jasper,rider/jasper-de-buyst,BE,183,Lotto Dstny (PRT),team/lotto-dstny-2023
EENKHOORN Pascal,rider/pascal-eenkhoorn,NL,184,Lotto Dstny (PRT),team/lotto-dstny-2023
FRISON Frederik,rider/frederik-frison,BE,185,Lotto Dstny (PRT),team/lotto-dstny-2023
GUARNIERI Jacopo,rider/jacopo-guarnieri,IT,186,Lotto Dstny (PRT),team/lotto-dstny-2023
VAN GILS Maxim,rider/maxim-van-gils,BE,187,Lotto Dstny (PRT),team/lotto-dstny-2023
VERMEERSCH Florian,rider/florian-vermeersch,BE,188,Lotto Dstny (PRT),team/lotto-dstny-2023
CAVENDISH Mark,rider/mark-cavendish,GB,191,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2023
BOL Cees,rider/cees-bol,NL,192,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2023
DE LA CRUZ David,rider/david-de-la-cruz,ES,193,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2023
FEDOROV Yevgeniy,rider/yevgeniy-fedorov,KZ,194,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2023
LUTSENKO Alexey,rider/aleksey-lutsenko,KZ,195,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2023
MOSCON Gianni,rider/gianni-moscon,IT,196,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2023
SÁNCHEZ Luis León,rider/luis-leon-sanchez,ES,197,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2023
TEJADA Harold,rider/harold-tejada,CO,198,Astana Qazaqstan Team (WT),team/astana-qazaqstan-team-2023
KRISTOFF Alexander,rider/alexander-kristoff,NO,201,Uno-X Pro Cycling Team (PRT),team/uno-x-pro-cycling-team-2023
ABRAHAMSEN Jonas,rider/jonas-abrahamsen,NO,202,Uno-X Pro Cycling Team (PRT),team/uno-x-pro-cycling-team-2023
CHARMIG Anthon,rider/anthon-charmig,DK,203,Uno-X Pro Cycling Team (PRT),team/uno-x-pro-cycling-team-2023
JOHANNESSEN Tobias Halland,rider/tobias-halland-johannessen,NO,204,Uno-X Pro Cycling Team (PRT),team/uno-x-pro-cycling-team-2023
TILLER Rasmus,rider/rasmus-tiller,NO,205,Uno-X Pro Cycling Team (PRT),team/uno-x-pro-cycling-team-2023
TRÆEN Torstein,rider/torstein-traeen,NO,206,Uno-X Pro Cycling Team (PRT),team/uno-x-pro-cycling-team-2023
WÆRENSKJOLD Søren,rider/soren-waerenskjold,NO,207,Uno-X Pro Cycling Team (PRT),team/uno-x-pro-cycling-team-2023
GREGAARD Jonas,rider/jonas-gregaard,DK,208,Uno-X Pro Cycling Team (PRT),team/uno-x-pro-cycling-team-2023
SAGAN Peter,rider/peter-sagan,SK,211,TotalEnergies (PRT),team/team-totalenergies-2023
BOASSON HAGEN Edvald,rider/edvald-boasson-hagen,NO,212,TotalEnergies (PRT),team/team-totalenergies-2023
BURGAUDEAU Mathieu,rider/mathieu-burgaudeau,FR,213,TotalEnergies (PRT),team/team-totalenergies-2023
CRAS Steff,rider/steff-cras,BE,214,TotalEnergies (PRT),team/team-totalenergies-2023
FERRON Valentin,rider/valentin-ferron,FR,215,TotalEnergies (PRT),team/team-totalenergies-2023
LATOUR Pierre,rider/pierre-latour,FR,216,TotalEnergies (PRT),team/team-totalenergies-2023
OSS Daniel,rider/daniel-oss,IT,217,TotalEnergies (PRT),team/team-totalenergies-2023
TURGIS Anthony,rider/anthony-turgis,FR,218,TotalEnergies (PRT),team/team-totalenergies-2023
